,places_name,road_address_name,lat,lng,distance,category_group_name
90,GS25 양평양산점,서울 영등포구 양산로9길 11,126.88851321217416,37.526388935658815,152,편의점
91,미니스톱 양평우림점,서울 영등포구 양산로 43,126.8882123805944,37.52556873974651,234,편의점
92,세븐일레븐 양평미소점,서울 영등포구 양산로3길 9,126.885075996238,37.5265401627812,278,편의점
93,세븐일레븐 비즈센터점,서울 영등포구 양산로 53,126.888976194837,37.5254343099683,266,편의점
94,세븐일레븐 양평동SK충전소점,서울 영등포구 선유로 157,126.891066377822,37.5280581710242,284,편의점
95,양평마트25,서울 영등포구 선유서로 115,126.886142921925,37.5257956172887,258,편의점
96,포시즌마트 양평점,서울 영등포구 양산로 57-5,126.88941517855,37.5254022857515,285,편의점
97,CU 영등포보성점,서울 영등포구 국회대로 674,126.90893255265895,37.52495222869271,269,편의점
98,CU 당산하늘점,서울 영등포구 버드나루로 88,126.9092322460278,37.525963383571046,164,편의점
99,CU KT지식센터점,서울 영등포구 영신로 220,126.904151672223,37.5268171233561,127,편의점
100,스토리웨이,서울 영등포구 국회대로 612,126.902053333108,37.525781051761,190,편의점
101,CU 영등포자매점,서울 영등포구 국회대로46길 5,126.904814617743,37.5250336758796,266,편의점
102,CU 에이스중앙점,서울 영등포구 선유로 130,126.8912841248039,37.5253517628021,287,편의점
103,마마트 영등포점,서울 영등포구 선유로 146,126.89182074813785,37.52664339102696,285,편의점
104,GS25 엔비어스파크점,서울 영등포구 버드나루로10길 7,126.910892083995,37.5248113650482,299,편의점
105,세븐일레븐 영등포아크로타워점,서울 영등포구 국회대로54길 10,126.907693582942,37.5242178511855,278,편의점
106,GS25 양평지산점,서울 영등포구 영등포로13길 18,126.889358284198,37.5240939777024,286,편의점
107,이마트24 셀프현대카드3관점,서울 영등포구 의사당대로 18,126.917541417231,37.5271155515121,80,편의점
108,GS25 여의태흥점,서울 영등포구 의사당대로 8,126.916807603649,37.5277709661145,178,편의점
109,GS25 여의서부점,서울 영등포구 국회대로62길 25,126.9177698537764,37.52616425287206,57,편의점
110,CU 여의광복회관점,서울 영등포구 국회대로62길 15,126.91679009910987,37.52723395678611,141,편의점
111,GS25 여의파크점,서울 영등포구 의사당대로 38,126.91883313462,37.5252423623893,159,편의점
112,GS25 여의더하우스점,서울 영등포구 의사당대로 26,126.91812813000844,37.52647805042631,11,편의점
113,GS25 G국회대로점,서울 영등포구 국회대로 746,126.916042584872,37.5279938731502,244,편의점
