,Unnamed: 0,자치구명,법정동코드,법정동명,지번주소,건물명,층,임대건물명,임대면적,전월세구분,보증금,임대료,건축년도,연식,latitude,longitude,conv_num,in_din_total_300,in_mart_total_1000,in_subway_total_500,in_hosp_total_1000,in_cafe_total_300,police_500,center_500,in_din_total_50,in_subway_total_50,all_score_life,nois_total
770,770,동작구,10200,상도동,서울특별시 동작구 상도동 7-46,샤인힐,3,다세대/연립,79.81,준월세,1000,50,2006.0,16,37.5071153061571,126.953420072872,5,15,6,0,88,15,0,0,0,0,27.490000000000002,12
771,771,동작구,10200,상도동,서울특별시 동작구 상도동 7-46,샤인힐,1,다세대/연립,79.81,준월세,1000,45,2006.0,16,37.5071153061571,126.953420072872,5,15,6,0,88,15,0,0,0,0,27.490000000000002,12
772,772,강남구,10100,역삼동,서울특별시 강남구 역삼동 736-22,메이플라워멤버스빌오피스텔,12,오피스텔,22.79,준월세,1000,60,2006.0,16,37.4987452532369,127.034746091127,21,425,5,1,638,94,0,1,19,0,81.92,63
773,773,강남구,10100,역삼동,서울특별시 강남구 역삼동 736-22,메이플라워멤버스빌오피스텔,8,오피스텔,20.1,준전세,8000,15,2006.0,16,37.4987452532369,127.034746091127,21,425,5,1,638,94,0,1,19,0,81.92,63
774,774,서초구,10800,서초동,서울특별시 서초구 서초동 1337-14,이즈타워,9,오피스텔,38.36,준전세,17000,40,2006.0,16,37.4921335689176,127.029101578912,21,258,6,0,486,65,1,1,26,0,60.480000000000004,48
775,775,서초구,10800,서초동,서울특별시 서초구 서초동 1337-14,이즈타워,12,오피스텔,24.39,준전세,17500,25,2006.0,16,37.4921335689176,127.029101578912,21,258,6,0,486,65,1,1,26,0,60.480000000000004,48
776,776,서초구,10800,서초동,서울특별시 서초구 서초동 1337-14,이즈타워,15,오피스텔,29.43,전세,20000,0,2006.0,16,37.4921335689176,127.029101578912,21,258,6,0,486,65,1,1,26,0,60.480000000000004,48
777,777,동작구,10900,신대방동,서울특별시 동작구 신대방동 719,동작상떼빌,6,오피스텔,65.53,준월세,10000,80,2006.0,16,37.4875215984483,126.906846512495,8,78,3,0,187,13,1,1,2,0,44.55,12
778,778,강남구,10300,개포동,서울특별시 강남구 개포동 1252-9,파라곤빌(1252-9),4,다세대/연립,65.92,준월세,10000,90,2006.0,16,37.480050046965,127.047032657902,8,101,5,0,88,33,1,2,0,0,48.92,12
779,779,영등포구,11500,당산동5가,서울특별시 영등포구 당산동5가 11-33,당산디오빌,9,아파트,28.86,준월세,2000,80,2005.0,17,37.5332349430411,126.902268281463,16,202,5,2,113,37,1,0,4,0,68.48,54
780,780,영등포구,11500,당산동5가,서울특별시 영등포구 당산동5가 11-33,당산디오빌,4,아파트,28.86,준월세,6000,50,2005.0,17,37.5332349430411,126.902268281463,16,202,5,2,113,37,1,0,4,0,68.48,54
781,781,영등포구,11000,여의도동,서울특별시 영등포구 여의도동 13-22,KCC파크타운,6,오피스텔,26.98,준전세,16000,4,2005.0,17,37.5295479774134,126.921225556516,12,332,2,1,82,80,1,0,51,0,80.93,63
782,782,영등포구,11400,당산동4가,서울특별시 영등포구 당산동4가 1-2,코오롱 스타폴리스,6,오피스텔,40.28,월세,1000,85,2005.0,17,37.5273668672795,126.902880622179,8,85,6,0,172,35,5,0,5,0,43.66,24
